index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
0, NVIDIA RTX 5000 Ada Generation, 69, 57, 32760, 3036
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
0, NVIDIA RTX 5000 Ada Generation, 85, 54, 32760, 3704
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
0, NVIDIA RTX 5000 Ada Generation, 86, 51, 32760, 4472
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1382
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1382
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1632
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1632
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1762
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 70, 58, 32760, 1762
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
0, NVIDIA RTX 5000 Ada Generation, 70, 58, 32760, 1762
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 4
